Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Goldstein, Sam",SR-4,13.05m,"42' 9.75""",Monmouth Scots Invite,"May 7, 2011",0.0
,"Goldstein, Sam",SR-4,12.95m,"42' 6""",Monmouth Scots Invite,"May 7, 2011",1.5
,"Goldstein, Sam",SR-4,12.94m,"42' 5.5""",Monmouth Scots Invite,"May 7, 2011",-1.2
,"Goldstein, Sam",SR-4,12.61m,"41' 4.5""",Dick Young Classic,"Apr 23, 2011",0.6
,"Goldstein, Sam",SR-4,12.52m,"41' 1""",Kip Janvrin Open,"Apr 28, 2011",-2.3
,"Goldstein, Sam",SR-4,12.47m,"40' 11""",Monmouth Scots Invite,"May 7, 2011",-1.3
,"Goldstein, Sam",SR-4,12.39m,"40' 7.75""",Monmouth Scots Invite,"May 7, 2011",-1.6
,"Lentsch, Griffin",,12.38m,"40' 7.5""",2011 Jim Duncan Invitational,"Apr 15, 2011",-0.9
,"Goldstein, Sam",SR-4,12.38m,"40' 7.5""",Kip Janvrin Open,"Apr 28, 2011",-2.8
,"Goldstein, Sam",SR-4,12.38m,"40' 7.5""",2011 Jim Duncan Invitational,"Apr 15, 2011",1.2
,"Goldstein, Sam",SR-4,12.32m,"40' 5""",2011 Jim Duncan Invitational,"Apr 15, 2011",0.4
,"Goldstein, Sam",SR-4,12.29m,"40' 4""",Augustana Twilight Meet,"May 20, 2011",1.7
,"Goldstein, Sam",SR-4,12.26m,"40' 2.75""",Kip Janvrin Open,"Apr 28, 2011",-1.3
,"Goldstein, Sam",SR-4,12.22m,"40' 1.25""",2011 Jim Duncan Invitational,"Apr 15, 2011",1.0
,"Lentsch, Griffin",,12.22m,"40' 1.25""",2011 Jim Duncan Invitational,"Apr 15, 2011",-0.1
,"Goldstein, Sam",SR-4,12.18m,"39' 11.5""",Cornell Invitational,"Apr 9, 2011",0.4
,"Goldstein, Sam",SR-4,12.17m,"39' 11.25""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.1
,"Lensch, Griffin",,11.88m,"38' 11.75""",Cornell Invitational,"Apr 9, 2011",-0.6
,"Lentsch, Griffin",,11.87m,"38' 11.5""",2011 Jim Duncan Invitational,"Apr 15, 2011",1.0
,"Lensch, Griffin",,11.76m,"38' 7""",Dick Young Classic,"Apr 23, 2011",0.0
,"Lentsch, Griffin",,11.55m,"37' 10.75""",Kip Janvrin Open,"Apr 28, 2011",-2.4
,"Lentsch, Griffin",,11.41m,"37' 5.25""",Kip Janvrin Open,"Apr 28, 2011",-3.7
