Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Lentsch, Griffin",,1.93m,"6' 4""",Kip Janvrin Open,"Apr 28, 2011"
,"Lensch, Griffin",,1.88m,"6' 2""",Dick Young Classic,"Apr 23, 2011"
,"Lentsch, Griffin",,1.88m,"6' 2""",Kip Janvrin Open,"Apr 28, 2011"
,"Lentsch, Grinnin",,1.86m,"6' 1.25""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Boucher, Dylan",SR,1.83m,"6' 0""",Dick Young Classic,"Apr 23, 2011"
,"Lentsch, Griffin",,1.83m,"6' 0""",Kip Janvrin Open,"Apr 28, 2011"
,"Lentsch, Griffin",,1.83m,"6' 0""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Lensch, Griffin",,1.82m,"5' 11.5""",Cornell Invitational,"Apr 9, 2011"
,"Boucher, Dylan",SR,1.82m,"5' 11.5""",Cornell Invitational,"Apr 9, 2011"
,"Boucher, Dylan",SR,1.81m,"5' 11.25""",Midwest Conference Championship,"May 13, 2011"
,"Boucher, Dylan",SR,1.78m,"5' 10""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Lentsch, Griffin",,1.78m,"5' 10""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Lentsch, Griffin",,1.78m,"5' 10""",Kip Janvrin Open,"Apr 28, 2011"
,"Boucher, Dylan",SR,1.73m,"5' 8""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Lentsch, Griffin",,1.73m,"5' 8""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Boucher, Dylan",SR,1.68m,"5' 6""",2011 Jim Duncan Invitational,"Apr 15, 2011"
