Singles,Overall,Dual,Tour,Conf,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,Dual,Tour,Conf,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Agusti, Irene",5-2,2-1,3-1,1-0,—,—,1-0,1-1,—,—,W 3,5-2,0-0,0-0
"Blumenthal, Josephine",1-1,1-1,0-0,1-1,—,—,—,—,0-1,1-0,W 1,1-1,0-0,0-0
"de los Reyes, Sophia",5-3,2-1,3-2,2-0,—,—,1-0,—,1-1,—,L 1,4-2,0-0,0-0
"Ergun, Nehir",10-0,6-0,4-0,4-0,—,1-0,3-0,—,1-0,1-0,W 10,9-0,0-0,0-0
"Giannakou, Ioanna",11-7,9-6,2-1,1-0,—,6-4,3-2,—,—,—,W 2,3-4,0-3,0-3
"Henning, Nichole",5-2,3-1,2-1,3-0,—,—,—,0-1,1-0,2-0,L 1,5-2,0-0,0-0
"Jarvis, Erin",3-3,2-2,1-1,0-0,—,—,—,—,—,2-2,W 1,2-1,0-0,0-0
"Kalra, Utsah",12-11,8-9,4-2,2-0,—,1-0,1-2,4-7,1-0,1-0,L 1,4-5,0-1,0-1
"Manchanda, Ananya",2-1,2-1,0-0,2-1,—,—,1-0,0-1,1-0,—,W 1,2-1,0-0,0-0
"Manchanda, Mira",5-11,2-9,3-2,1-1,—,1-5,1-4,—,—,—,L 7,0-6,0-0,0-1
"Marin, Sydney",8-1,4-1,4-0,1-0,—,—,—,1-0,3-0,0-1,W 2,6-1,0-0,0-0
"Martin, Kalea",5-2,1-2,4-0,1-0,—,—,—,—,1-0,0-2,L 2,1-2,0-0,0-0
"Mukherjee, Tan",4-0,4-0,0-0,4-0,—,—,—,3-0,—,1-0,W 4,4-0,0-0,0-0
"Perrin, Lily",13-7,9-6,4-1,2-0,—,2-0,—,3-1,3-5,1-0,W 2,3-3,0-1,0-0
"Sheth, Anika",6-7,5-6,1-1,1-0,—,2-0,1-0,—,0-2,2-4,L 1,4-5,0-0,0-0
"Tang, Sabrina",24-11,13-7,11-4,6-0,13-7,—,—,—,—,—,L 1,4-4,0-3,1-2
"Trapp, Alyssa",2-0,2-0,0-0,1-0,—,—,—,—,—,2-0,W 2,2-0,0-0,0-0
"Voinescu, Isa",2-0,2-0,0-0,0-0,—,—,1-0,—,1-0,—,W 2,2-0,0-0,0-0
Total,123-69,77-53,46-16,33-3,13-7,13-9,13-8,12-11,13-9,13-9,—,—,0-8,1-7
Percentage,.641,.592,.742,.917,.650,.591,.619,.522,.591,.591,—,—,.000,.125
