Singles,Overall,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Agusti, Irene",1-0,—,—,—,1-0,—,—,W 1,1-0,0-0,0-0
"Blumenthal, Josephine",1-1,—,—,—,—,0-1,1-0,W 1,1-1,0-0,0-0
"de los Reyes, Sophia",2-0,—,—,1-0,—,1-0,—,W 2,2-0,0-0,0-0
"Ergun, Nehir",4-0,—,1-0,3-0,—,—,—,W 4,4-0,0-0,0-0
"Giannakou, Ioanna",1-0,—,—,1-0,—,—,—,W 1,1-0,0-0,0-0
"Henning, Nichole",3-0,—,—,—,—,1-0,2-0,W 3,3-0,0-0,0-0
"Kalra, Utsah",2-0,—,—,—,1-0,—,1-0,W 2,2-0,0-0,0-0
"Manchanda, Ananya",2-1,—,—,1-0,0-1,1-0,—,W 1,2-1,0-0,0-0
"Manchanda, Mira",1-1,—,1-1,—,—,—,—,W 1,1-1,0-0,0-0
"Marin, Sydney",1-0,—,—,—,—,1-0,—,W 1,1-0,0-0,0-0
"Martin, Kalea",1-0,—,—,—,—,1-0,—,W 1,1-0,0-0,0-0
"Mukherjee, Tan",4-0,—,—,—,3-0,—,1-0,W 4,4-0,0-0,0-0
"Perrin, Lily",2-0,—,2-0,—,—,—,—,W 2,2-0,0-0,0-0
"Sheth, Anika",1-0,—,1-0,—,—,—,—,W 1,1-0,0-0,0-0
"Tang, Sabrina",6-0,6-0,—,—,—,—,—,W 6,6-0,0-0,0-0
"Trapp, Alyssa",1-0,—,—,—,—,—,1-0,W 1,1-0,0-0,0-0
Total,33-3,6-0,5-1,6-0,5-1,5-1,6-0,—,—,0-0,0-0
Percentage,.917,1.000,.833,1.000,.833,.833,1.000,—,—,.000,.000
