Statistic,Grinnell College,Opponents OPP
Attack,Attack,Attack
Kills K,823,1122
Errors ATE,506,451
Attempts ATT,2904,3107
Percent ATT%,.109,.216
Kills Per Set K/S,8.8,11.9
Set,Set,Set
Assists AST,761,1005
Assists Per Set AST/S,8.1,10.7
Ball Handling Errors BHE,90,33
Serve,Serve,Serve
Aces SA,110,219
Errors SE,122,175
Aces Per Set SA/S,1.2,2.3
Receptions,Receptions,Receptions
Errors RE,223,108
Errors Per Set RE/S,2.4,1.1
Defense,Defense,Defense
Digs DIG,1290,1433
Digs Per Set DIG/S,13.7,15.2
Blocking,Blocking,Blocking
Solo BS,42,46
Assists BA,179,208
Errors BE,96,19
Blocks BLK,131.5,150.0
Blocks Per Set BLK/S,1.4,1.6
