Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/30/2013,Minnesota-Morris,L,3,24,14,69,0.145,21,3,8,13,29,1,4,0,3.0,0,30.0
8/30/2013,William Penn,L,3,22,20,98,0.02,22,3,9,7,43,5,10,0,10.0,2,35.0
8/31/2013,Hamline University,L,3,27,14,90,0.144,27,3,6,9,33,1,2,1,2.0,2,32.0
8/31/2013,Graceland University,L,3,21,10,68,0.162,17,6,4,15,26,3,8,0,7.0,3,34.0
8/31/2013,Nebraska Wesleyan,L,3,17,17,79,0.0,13,1,3,8,32,0,4,0,2.0,1,20.0
9/04/2013,at Central College,L,3,23,14,86,0.105,21,1,6,13,50,1,4,0,3.0,0,27.0
9/06/2013,vs Edgewood,L,3,27,17,98,0.102,23,0,5,5,36,0,10,9,5.0,5,32.0
9/06/2013,vs St. Norbert,L,3,22,9,83,0.157,19,5,0,6,30,1,9,20,5.5,12,32.5
9/07/2013,at UW-Platteville,L,4,21,29,123,-0.065,20,4,4,10,50,0,16,0,8.0,0,33.0
9/07/2013,vs Carroll,L,3,24,18,75,0.08,24,6,0,11,47,3,2,14,4.0,0,34.0
9/14/2013,vs Coe College,L,3,19,16,87,0.034,19,4,1,5,25,1,6,9,4.0,0,27.0
9/14/2013,vs St. Olaf College,L,3,26,12,90,0.156,19,6,3,7,26,1,2,13,2.0,0,34.0
9/15/2013,Lawrence University,L,3,16,11,72,0.069,17,3,2,7,35,1,2,9,2.0,0,21.0
9/15/2013,vs Lake Forest College,L,4,28,16,101,0.119,29,4,1,13,40,3,1,18,3.5,0,35.5
9/20/2013,Buena Vista Univ.,L,3,24,12,86,0.14,23,2,3,6,35,0,10,0,5.0,6,31.0
9/20/2013,William Penn Univ.,L,4,46,26,156,0.128,44,4,6,6,68,1,8,0,5.0,1,55.0
9/27/2013,at Monmouth College,L,5,49,43,203,0.03,47,8,5,4,100,1,16,1,9.0,0,66.0
9/28/2013,at Knox College,W,3,36,13,105,0.219,32,2,8,5,51,5,2,0,6.0,3,44.0
9/28/2013,vs Waldorf,L,3,22,16,84,0.071,20,5,6,7,35,0,6,0,3.0,2,30.0
9/28/2013,at William Penn,L,3,26,19,97,0.072,24,2,2,8,37,0,8,0,4.0,1,32.0
10/04/2013,at Lawrence University,L,4,41,29,164,0.073,39,4,4,9,88,3,6,1,6.0,8,51.0
10/05/2013,at St. Norbert,L,3,28,14,96,0.146,28,2,1,9,55,0,5,1,2.5,5,32.5
10/11/2013,Beloit College,W,3,42,13,93,0.312,37,8,9,3,38,0,10,0,5.0,4,55.0
10/12/2013,Lake Forest College,L,5,47,19,139,0.201,44,6,12,10,63,2,16,0,10.0,10,63.0
10/18/2013,at Illinois College,W,4,46,28,146,0.123,44,8,4,4,80,6,0,0,6.0,0,60.0
10/25/2013,Carroll University,L,3,21,26,80,-0.063,20,4,2,7,33,2,0,0,2.0,11,27.0
10/26/2013,Ripon College,L,4,54,19,159,0.22,47,3,6,5,78,0,8,0,4.0,7,61.0
10/30/2013,Cornell College,L,3,24,12,77,0.156,21,3,2,11,27,1,4,0,3.0,7,30.0
,Grinnell College,,94,823,506,2904,0.109,761,110,122,223,1290,42,179,96,131.5,90,1064.5
,Opponents,,94,1122,451,3107,0.216,1005,219,175,108,1433,46,208,19,150.0,33,1491.0
