#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Gogos, Artemis 2Gogos, Artemis",3,3,0.0,1.0,0.33,0,0.0,0,0,0.0,1,0.33,1,0.33,1,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",73,24,2.0,18.5,0.25,2,0.03,8,22,-0.273,15,0.21,16,0.22,14,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",49,15,0.0,10.0,0.2,0,0.0,2,10,-0.2,3,0.06,10,0.2,12,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",1,1,1.0,1.5,1.5,1,1.0,0,2,0.5,0,0.0,0,0.0,0,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",82,26,0.0,61.5,0.75,52,0.63,60,241,-0.033,6,0.07,0,0.0,0,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",9,5,0.0,1.5,0.17,1,0.11,4,19,-0.158,0,0.0,0,0.0,0,View Bio
10.0,"Rasmussen, Rebecca 10Rasmussen, Rebecca",12,6,1.0,9.0,0.75,3,0.25,3,16,0.0,2,0.17,0,0.0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",94,28,10.0,330.5,3.52,294,3.13,133,918,0.175,16,0.17,17,0.18,21,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",94,28,10.0,190.0,2.02,167,1.78,94,570,0.128,2,0.02,1,0.01,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",94,28,9.0,119.5,1.27,73,0.78,40,229,0.144,6,0.06,16,0.17,17,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",30,15,0.0,4.0,0.13,1,0.03,2,12,-0.083,4,0.13,3,0.1,5,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",39,15,0.0,4.0,0.1,0,0.0,1,3,-0.333,1,0.03,4,0.1,7,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",81,25,9.0,61.0,0.75,29,0.36,21,147,0.054,5,0.06,2,0.02,2,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",94,28,9.0,194.5,2.07,182,1.94,100,595,0.138,6,0.06,0,0.0,0,View Bio
21.0,"Au, Jeanette 21Au, Jeanette",94,28,3.0,21.0,0.22,5,0.05,11,38,-0.158,324,3.45,16,0.17,26,View Bio
22.0,"Warnick, Madeline 22Warnick, Madeline",14,6,0.0,1.0,0.07,0,0.0,2,4,-0.5,35,2.5,1,0.07,6,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",94,28,6.0,33.0,0.35,13,0.14,23,75,-0.133,334,3.55,20,0.21,10,View Bio
24.0,"Hood, Christine 24Hood, Christine",13,6,0.0,3.0,0.23,0,0.0,2,3,-0.667,1,0.08,3,0.23,1,View Bio
,Total,94,28,,1064.5,11.32,823,8.76,506,2904,0.109,761,8.1,110,1.17,122,
,Opponents,94,28,,1491.0,15.86,1122,11.94,451,3107,0.216,1005,10.69,219,2.33,175,
