#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Gogos, Artemis 2Gogos, Artemis",1,1,0.0,1.0,1.0,0,0.0,0,0,0.0,0,0.0,1,1.0,1,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",34,10,1.0,14.0,0.41,2,0.06,5,15,-0.2,12,0.35,12,0.35,9,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",35,10,0.0,8.0,0.23,0,0.0,1,5,-0.2,2,0.06,8,0.23,11,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",36,10,0.0,34.5,0.96,31,0.86,21,102,0.098,5,0.14,0,0.0,0,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",2,2,0.0,0.0,0.0,0,0.0,1,4,-0.25,0,0.0,0,0.0,0,View Bio
10.0,"Rasmussen, Rebecca 10Rasmussen, Rebecca",3,2,0.0,3.0,1.0,1,0.33,2,7,-0.143,0,0.0,0,0.0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",37,10,5.0,141.5,3.82,128,3.46,53,382,0.196,11,0.3,5,0.14,10,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",37,10,5.0,89.0,2.41,81,2.19,41,250,0.16,2,0.05,0,0.0,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",37,10,5.0,68.5,1.85,42,1.14,15,103,0.262,3,0.08,10,0.27,7,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",10,5,0.0,2.0,0.2,0,0.0,2,5,-0.4,2,0.2,2,0.2,0,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",34,10,5.0,22.5,0.66,14,0.41,12,62,0.032,2,0.06,0,0.0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",37,10,5.0,85.5,2.31,79,2.14,38,256,0.16,3,0.08,0,0.0,0,View Bio
21.0,"Au, Jeanette 21Au, Jeanette",37,10,0.0,8.0,0.22,3,0.08,10,25,-0.28,150,4.05,5,0.14,12,View Bio
22.0,"Warnick, Madeline 22Warnick, Madeline",1,1,0.0,0.0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",37,10,4.0,12.0,0.32,7,0.19,15,45,-0.178,167,4.51,5,0.14,3,View Bio
,Total,37,10,,489.5,13.23,388,10.49,216,1262,0.136,359,9.7,48,1.3,53,
,Opponents,37,10,,531.0,14.35,407,11.0,197,1288,0.163,368,9.95,67,1.81,68,
