#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Gogos, Artemis 2Gogos, Artemis",1,2,2.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",34,193,5.68,18,131,0.863,0.53,0,0,0.0,0.0,0,1,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",35,59,1.69,9,58,0.845,0.26,0,0,0.0,0.0,0,2,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",36,9,0.25,0,2,1.0,0.0,1,5,6.0,0.17,0,4,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",2,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
10.0,"Rasmussen, Rebecca 10Rasmussen, Rebecca",3,2,0.67,0,1,1.0,0.0,2,0,2.0,0.67,0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",37,103,2.78,19,112,0.83,0.51,4,9,13.0,0.35,0,3,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",37,10,0.27,0,5,1.0,0.0,1,14,15.0,0.41,0,3,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",37,24,0.65,1,4,0.75,0.03,7,19,26.0,0.7,0,3,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",10,31,3.1,2,7,0.714,0.2,0,0,0.0,0.0,0,2,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",1,1,1.0,2,0,0.0,2.0,0,0,0.0,0.0,0,0,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",34,8,0.24,2,3,0.333,0.06,2,13,15.0,0.44,1,3,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",37,55,1.49,8,42,0.81,0.22,3,7,10.0,0.27,1,0,View Bio
21.0,"Au, Jeanette 21Au, Jeanette",37,51,1.38,0,1,1.0,0.0,0,0,0.0,0.0,1,13,View Bio
22.0,"Warnick, Madeline 22Warnick, Madeline",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",37,65,1.76,0,1,1.0,0.0,0,0,0.0,0.0,0,21,View Bio
,Total,37,613,16.57,67,370,0.819,1.81,20,67,53.5,1.45,3,55,
,Opponents,37,592,16.0,48,316,0.848,1.3,22,70,57.0,1.54,3,17,
