Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/30/2013,at Minnesota-Morris,W,3,39,10,79,0.367,34,13,6,3,25,2,6,0,5.0,3,57.0
8/30/2013,at William Penn,W,3,32,15,96,0.177,28,7,8,3,49,1,2,0,2.0,2,41.0
8/31/2013,at Hamline University,W,3,39,7,86,0.372,39,9,6,3,42,0,2,1,1.0,0,49.0
8/31/2013,at Graceland University,W,3,39,14,83,0.301,38,15,7,6,30,1,8,0,5.0,4,59.0
8/31/2013,at Nebraska Wesleyan,W,3,38,9,83,0.349,30,8,7,1,33,0,12,1,6.0,0,52.0
9/04/2013,Central College,W,3,39,15,108,0.222,35,13,5,1,46,0,10,1,5.0,1,57.0
9/06/2013,vs Edgewood,W,3,34,16,90,0.2,34,5,6,0,54,0,1,2,0.5,1,39.5
9/06/2013,vs St. Norbert,W,3,34,8,95,0.274,32,6,9,5,52,5,2,3,6.0,1,46.0
9/07/2013,UW-Platteville,W,4,50,31,139,0.137,46,10,11,4,67,1,9,0,5.5,0,65.5
9/07/2013,vs Carroll,W,3,33,11,96,0.229,28,11,3,6,48,0,13,0,6.5,0,50.5
9/14/2013,vs Coe College,W,3,36,15,95,0.221,30,3,1,4,44,3,10,0,8.0,0,47.0
9/14/2013,vs St. Olaf College,W,3,35,10,88,0.284,33,9,6,4,42,2,2,3,3.0,0,47.0
9/15/2013,at Lawrence University,W,3,36,7,95,0.305,36,8,4,3,51,2,14,1,9.0,0,53.0
9/15/2013,vs Lake Forest College,W,4,49,16,122,0.27,35,8,8,4,58,4,5,1,6.5,0,63.5
9/20/2013,at Buena Vista Univ.,W,3,44,18,112,0.232,41,6,6,2,47,2,14,0,9.0,2,59.0
9/20/2013,at William Penn Univ.,W,4,50,24,151,0.172,45,6,5,4,71,0,14,0,7.0,2,63.0
9/27/2013,Monmouth College,W,5,52,31,203,0.103,47,4,11,8,98,1,4,0,3.0,0,59.0
9/28/2013,Knox College,L,3,29,23,108,0.056,26,5,5,2,52,2,0,2,2.0,6,36.0
9/28/2013,vs Waldorf,W,3,43,13,99,0.303,34,7,7,5,37,0,6,0,3.0,0,53.0
9/28/2013,William Penn,W,3,45,15,102,0.294,39,8,2,2,45,1,8,3,5.0,0,58.0
10/04/2013,Lawrence University,W,4,57,27,182,0.165,53,9,9,4,86,2,10,0,7.0,1,73.0
10/05/2013,St. Norbert,W,3,44,5,104,0.375,40,9,3,2,54,2,0,0,2.0,1,55.0
10/11/2013,at Beloit College,L,3,26,16,87,0.115,24,3,6,8,32,1,8,0,5.0,3,34.0
10/12/2013,at Lake Forest College,W,5,46,38,157,0.051,43,10,8,6,60,0,12,0,6.0,3,62.0
10/18/2013,Illinois College,L,4,41,24,145,0.117,36,4,11,8,71,4,0,1,4.0,0,49.0
10/25/2013,at Carroll University,W,3,23,9,66,0.212,21,7,3,4,27,5,14,0,12.0,1,42.0
10/26/2013,at Ripon College,W,4,48,15,153,0.216,41,5,8,3,79,5,18,0,14.0,1,67.0
10/30/2013,at Cornell College,W,3,41,9,83,0.386,37,11,4,3,33,0,4,0,2.0,1,54.0
,Opponents,,94,1122,451,3107,0.216,1005,219,175,108,1433,46,208,19,150.0,33,1491.0
,Grinnell College,,94,823,506,2904,0.109,761,110,122,223,1290,42,179,96,131.5,90,1064.5
