#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Gogos, Artemis 2Gogos, Artemis",3,2,0.67,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",73,335,4.59,32,178,0.82,0.44,0,1,1.0,0.01,0,6,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",49,83,1.69,14,64,0.781,0.29,0,0,0.0,0.0,0,3,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",1,0,0.0,0,0,0.0,0.0,0,1,1.0,1.0,0,0,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",82,12,0.15,1,6,0.833,0.01,2,15,17.0,0.21,9,4,View Bio
9.0,"Moreland, Rebecca 9Moreland, Rebecca",9,1,0.11,0,0,0.0,0.0,0,1,1.0,0.11,3,0,View Bio
10.0,"Rasmussen, Rebecca 10Rasmussen, Rebecca",12,5,0.42,0,1,1.0,0.0,3,6,9.0,0.75,0,0,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",94,184,1.96,50,234,0.786,0.53,6,27,33.0,0.35,9,5,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",94,18,0.19,0,7,1.0,0.0,6,32,38.0,0.4,14,5,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",94,49,0.52,4,9,0.556,0.04,12,37,49.0,0.52,19,3,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",30,78,2.6,15,35,0.571,0.5,0,0,0.0,0.0,0,2,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",39,51,1.31,28,43,0.349,0.72,0,0,0.0,0.0,0,2,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",81,12,0.15,3,4,0.25,0.04,10,40,50.0,0.62,26,3,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",94,95,1.01,30,128,0.766,0.32,3,19,22.0,0.23,15,0,View Bio
21.0,"Au, Jeanette 21Au, Jeanette",94,114,1.21,3,2,-0.5,0.03,0,0,0.0,0.0,1,22,View Bio
22.0,"Warnick, Madeline 22Warnick, Madeline",14,11,0.79,0,5,1.0,0.0,0,0,0.0,0.0,0,4,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",94,205,2.18,21,100,0.79,0.22,0,0,0.0,0.0,0,31,View Bio
24.0,"Hood, Christine 24Hood, Christine",13,35,2.69,8,28,0.714,0.62,0,0,0.0,0.0,0,0,View Bio
,Total,94,1290,13.72,223,852,0.738,2.37,42,179,131.5,1.4,96,90,
,Opponents,94,1433,15.24,108,652,0.834,1.15,46,208,150.0,1.6,19,33,
