0,1,2,3
Grinnell College,328,36,2nd
Nina Kouchi,77,4,1st
Danielle Oberlander,81,8,t-5th
Aubrie Torhorst,82,9,t-10th
Zoe Robinson,88,15,t-27th
Lexi Mueldener,98,25,42nd
