0,1,2,3
Grinnell College,339,51,12th
Rockne Decoster,84,12,t-59th
Jon Cohen,85,13,t-62nd
Ian Luby,85,13,t-62nd
Chris Marsho,85,13,t-62nd
Travis Palmer,85,13,t-62nd
Max Herzberg#,98,26,78th
