0,1,2,3
Grinnell College,334,46,2nd
Ian Luby,79,8,t-3rd
Jon Cohen,82,11,5th
Chris Marsho,86,15,7th
Rockne Decoster,87,16,8th
Travis Palmer,93,22,9th
Max Herzberg,94,23,10th
Jacob Kljaich,98,27,11th
