0,1,2,3,4,5,6
Grinnell College,322,166,336,824,104,t-4th
Jon Cohen,76,39,81,196,16,4th
Ian Luby,80,37,83,200,20,t-11th
Chris Marsho,84,44,89,217,37,t-26th
Travis Palmer,95,46,83,224,44,t-30th
Rockne Decoster,82,53,91,226,46,t-33rd
Max Herzberg,102,48,97,247,67,42nd
