Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Page, James",FR-1,12.59m,"41' 3.75""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Page, James",,11.50m,"37' 8.75""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Page, James",,11.44m,"37' 6.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Page, James",FR-1,11.33m,"37' 2.25""",Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"Page, James",FR-1,11.14m,"36' 6.75""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Gustafson, Jack",FR-1,11.12m,"36' 5.75""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Gustafson, Jack",FR-1,10.99m,"36' 0.75""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Page, James",,10.92m,"35' 10""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Page, James",FR-1,10.75m,"35' 3.25""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Gustafson, Jack",FR-1,10.69m,"35' 1""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Gustafson, Jack",FR-1,10.66m,"34' 11.75""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Gustafson, Jack",,10.59m,"34' 9""",Grinnell Indoor Invitational,"Feb 6, 2016"
,"Page, James",FR-1,10.26m,"33' 8""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Page, James",FR-1,10.13m,"33' 3""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Gustafson, Jack",FR-1,9.98m,"32' 9""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Gustafson, Jack",FR-1,9.96m,"32' 8.25""",Wartburg Indoor Invite,"Feb 20, 2016"
,"Page, James",FR-1,9.83m,"32' 3""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Page, James",,9.63m,"31' 7.25""",Grinnell Indoor Invitational,"Feb 6, 2016"
,"Gustafson, Jack",,9.36m,"30' 8.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Gustafson, Jack",,9.31m,"30' 6.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Gustafson, Jack",,9.03m,"29' 7.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"Gustafson, Jack",FR-1,8.33m,"27' 4""",Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
