Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Hardman, Ed",SR-4,23.45,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016",0.0
,"Shults, Andrew",,23.84,Grinnell Indoor Invitational,"Feb 6, 2016",0.0
,"Hardman, Ed",,23.96,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Hardman, Ed",SR-4,23.97,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Shults, Andrew",FR-1,24.17,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Shults, Andrew",,24.19,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Braun, Jonathan",JR-3,24.33,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Braun, Jonathan",,24.41,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Silvia, Colton",,24.46,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Silvia, Colton",,24.54,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Hardman, Ed",,24.65,Grinnell Indoor Invitational,"Feb 6, 2016",0.0
,"McGriff, Zach",FR-1,25.06,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"McGriff, Zach",FR-1,25.2,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016",0.0
,"McGriff, Zach",FR-1,25.26,Wartburg Indoor Invite,"Feb 20, 2016",0.0
,"Ogasawara, Ibuki",,25.5,Grinnell Indoor Invitational,"Feb 6, 2016",0.0
,"Ogasawara, Ibuki",,25.62,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Gallagher, John",JR-3,26.52,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Gallagher, John",JR-3,26.84,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016",0.0
,"Brunet, Chris",,27.09,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Burnette, Tim",FR-1,28.84,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Hung, Ryan",FR-1,29.41,Grinnell Darren Young Indoor Classic,"Feb 13, 2016",0.0
,"Burnette, Tim",,29.71,2016 Hilltop Invitational,"Jan 30, 2016",0.0
,"Hung, Ryan",,29.73,Grinnell Indoor Invitational,"Feb 6, 2016",0.0
