Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2093,2168,4261,,,,,,,,,119123,,,119123,176613,159779,,336392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343422,,,343422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118055,137270,,255325,,93698,,93698,,,,,72511,85697,,158208,,,,,,,,,,,,,,,,,39899,39499,,79398,,,,,,,,,102032,101330,,203362,,91995,,91995,,,,,,,,,83589,,,83589,,,,,1055244,709268,,2939871,4704383
2004,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2250,2263,4513,,,,,,,,,123131,,,123131,172828,156052,,328880,,,,,,,,,110946,112745,,223691,,,,,,,,,,,,,,,,,354359,,,354359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128014,128676,,256690,,172709,,172709,,,,,98223,92202,,190425,,,,,,,,,,,,,,,,,54331,50601,,104932,,,,,,,,,,,,,,91884,,91884,,,,,,,,,95647,,,95647,,,,,1137479,804869,,730197,2672545
2005,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2279,2335,4614,,,,,,,,,120237,,,120237,168985,161096,,330081,,,,,,,,,122670,120110,,242780,,,,,,,,,,,,,,,,,350851,,,350851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113147,152456,,265603,,97487,,97487,,,,,96360,86554,,182914,,,,,,,,,,,,,,,,,48150,49262,,97412,,,,,,,,,,,,,,89809,,89809,,,,,,,,,95734,,,95734,,,,,1116134,756774,,908474,2781382
2006,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2258,2324,4582,,,,,,,,,158478,,,158478,253467,185714,,439181,,,,,,,,,134138,135283,,269421,,,,,,,,,,,,,,,,,422876,,,422876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138208,144651,,282859,,125945,,125945,,,,,113818,114218,,228036,,,,,,,,,,,,,,,,,69529,67198,,136727,,,,,,,,,,,,,,89380,,89380,,,,,,,,,96073,,,96073,,,,,1386587,862389,,1013175,3262151
2007,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2416,2422,4838,,,,,,,,,205715,,,205715,215085,184292,,399377,,,,,,,,,114612,114721,,229333,,,,,,,,,,,,,,,,,390924,,,390924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122655,171277,,293932,,87434,,87434,,,,,89241,90241,,179482,,,,,,,,,,,,,,,,,67168,71723,,138891,,,,,,,,,,,,,,159943,,159943,,,,,,,,,98012,,,98012,,,,,1303412,879631,,1302308,3485351
2008,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2488,2467,4955,,,,,,,,,204743,,,204743,218465,196505,,414970,,,,,,,,,191286,195078,,386364,,,,,,,,,,,,,,,,,469337,,,469337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146671,172869,,319540,,186437,,186437,,,,,163903,162103,,326006,,,,,,,,,,,,,,,,,137390,147262,,284652,,,,,,,,,,,,,,145388,,145388,,,,,,,,,126576,,,126576,,,,,1658371,1205642,,1053594,3917607
2009,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2559,2500,5059,,,,,,,,,205083,,,205083,205508,197909,,403417,,,,,,,,,204160,208751,,412911,,,,,,,,,,,,,,,,,473146,,,473146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150917,163275,,314192,,124981,,124981,,,,,201204,205330,,406534,,,,,,,,,,,,,,,,,133499,138580,,272079,,,,,,,,,,,,,,149011,,149011,,,,,,,,,111541,,,111541,,,,,1685058,1187837,,1020258,3893153
2010,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2672,2542,5214,,,,,,,,,136712,,,136712,167178,167817,,334995,,,,,,,,,130142,128978,,259120,,,,,,,,,,,,,,,,,458727,,,458727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120694,126889,,247583,,97244,,97244,,,,,153179,164828,,318007,,,,,,,,,,,,,,,,,77853,83778,,161631,,,,,,,,,,,,,,115255,,115255,,,,,,,,,96739,,,96739,,,,,1341224,884789,,1167961,3393974
2011,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2746,2565,5311,,,,,,,,,163396,,,163396,209624,196326,,405950,,,,,,,,,146162,147644,,293806,,,,,,,,,,,,,,,,,452879,,,452879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137609,223443,,361052,,108460,,108460,,,,,103666,106502,,210168,,,,,,,,,,,,,,,,,54823,65708,,120531,,,,,,,,,,,,,,173365,,173365,,,,,,,,,116429,,,116429,,,,,1384588,1021448,,938842,3344878
2012,144050,00177400,University of Chicago,IL,NCAA Division III (with football),,1,NCAA,2930,2624,5554,,,,,,,,,233460,,,233460,303796,222921,,526717,,,,,,,,,241931,228223,,470154,,,,,,,,,,,,,,,,,545190,,,545190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166344,193155,,359499,,127116,,127116,,,,,253147,255113,,508260,,,,,,,,,,,,,,,,,115250,99771,,215021,,,,,,,,,,,,,,180926,,180926,,,,,,,,,128779,,,128779,,,,,1987897,1307225,,928452,4223574
