Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,48935,8,71178,5.50,42126,7,61434,4.80,,,,
2004,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,51921,8,75521,5.50,41661,7,60756,4.80,,,,
2005,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,48888,8,71110,5.50,43576,7,63548,4.80,,,,
2006,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,49694,8,77951,5.10,41105,7,65394,4.40,,,,
2007,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,42021,8,65915,5.10,34511,7,54904,4.40,,,,
2008,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,59405,8,93184,5.10,49939,7,79448,4.40,,,,
2009,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,45876,8,71962,5.10,36698,7,58383,4.40,,,,
2010,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,47324,8,74234,5.10,39664,7,63102,4.40,,,,
2011,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,48395,8,75914,5.10,37580,7,59786,4.40,,,,
2012,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,61278,8,96122,5.10,58805,7,93553,4.40,,,,
2013,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,49016,8,76888,5.10,40806,7,71411,4.00,,,,
2014,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,47156,8,72548,5.20,42604,7,67779,4.40,,,,
2015,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,62547,8,76981,7.00,54676,7,69588,6.00,,,,
2016,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,64009,8,78780,6.50,59596,7,75849,5.50,,,,
2017,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,67109,8,82596,6.50,58251,7,74138,5.50,,,,
2018,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,71390,8,87865,6.50,60467,8,74421,6.50,,,,
2019,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,74627,8,91849,6.50,60467,8,74421,6.50,,,,
2020,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,48580,3,72870,2.00,53732,4,71643,3.00,,,,
2021,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,82088,8,101031,6.50,72791,8,89589,6.50,,,,
2022,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,91858,8,113056,6.50,84478,8,103973,6.50,,,,
