Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,9314,21,33435,5.85,7094,12,28857,2.95,,,,
2004,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,12813,18,36320,6.35,9479,10,33854,2.80,,,,
2005,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,12762,19,37593,6.45,9968,11,35370,3.10,,,,
2006,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,18356,17,41331,7.55,11050,11,29289,4.15,,,,
2007,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,13650,16,29714,7.35,11808,10,28453,4.15,,,,
2008,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,15081,21,40865,7.75,13047,14,39281,4.65,,,,
2009,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,10464,24,34168,7.35,10262,12,29673,4.15,,,,
2010,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,16537,20,41603,7.95,14309,13,38354,4.85,,,,
2011,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,12666,18,31231,7.30,10693,11,28005,4.20,,,,
2012,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,21245,13,38306,7.21,20175,11,54661,4.06,,,,
2013,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,11379,18,28251,7.25,11423,12,33030,4.15,,,,
2014,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,12879,19,27966,8.75,10949,15,23462,7.00,,,,
2015,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,17165,18,35927,9.00,15373,13,32762,6.00,,,,
2016,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,17433,17,30871,9.60,20068,11,38060,5.80,,,,
2017,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,18535,17,36218,8.70,17842,11,33838,5.80,,,,
2018,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,17862,17,36149,8.40,19212,12,34410,6.70,,,,
2019,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,20868,17,41012,8.65,21771,12,38139,6.85,,,,
2020,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,21100,6,51673,2.45,24583,7,51367,3.35,,,,
2021,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,22434,23,48678,10.60,24502,16,58165,6.74,,,,
2022,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,29906,20,54823,10.91,28430,16,58020,7.84,,,,
