Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:15.44 #,"Olowu, Soderberg, Dalla Betta, Villa",Midwest Conference Indoor Championships,"Feb 22, 2019"
,4:26.32 #,"Olowu, Maddaus, Cottrell, Villa",2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,4:38.44 #,"Daney, Schaefer, Maddaus, Beisner",Wartburg Indoor Invite,"Feb 16, 2019"
