Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,3615,15,32666,1.66,2529,8,32114,0.63,,,,
2004,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,1465,17,47894,0.52,1746,13,37830,0.60,,,,
2005,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,2172,15,50123,0.65,4242,7,51197,0.58,,,,
2006,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,4624,17,42955,1.83,5006,5,41033,0.61,,,,
2007,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,6155,13,33479,2.39,5803,7,32239,1.26,,,,
2008,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,5343,18,38470,2.50,4436,6,40327,0.66,,,,
2009,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,9832,15,39539,3.73,5023,9,31836,1.42,,,,
2010,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,7684,18,34492,4.01,4275,11,31142,1.51,,,,
2011,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,8473,18,39207,3.89,5375,10,36318,1.48,,,,
2012,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,10904,13,15161,9.35,8723,7,16961,3.60,,,,
2013,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,10203,16,23728,6.88,5751,6,19718,1.75,,,,
2014,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,15438,10,23751,6.50,10181,5,25453,2.00,,,,
2015,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,9508,17,23494,7.00,4913,11,18765,3.00,,,,
2016,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,10066,15,23446,6.44,5430,8,18887,2.30,,,,
2017,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,7430,19,21165,6.67,4702,13,20934,2.92,,,,
2018,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,7638,16,21707,5.63,4549,10,21357,2.13,,,,
2019,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,8944,16,14677,9.75,5914,11,26022,2.50,,,,
2020,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,5837,8,31984,1.46,6511,9,26515,2.21,,,,
2021,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,12751,17,25502,8.50,9005,10,25729,3.50,,,,
2022,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,15692,12,31384,6.00,14477,5,36192,2.00,,,,
