Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2004,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2005,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2006,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2007,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2008,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2009,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2010,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2011,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2012,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2013,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2014,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2015,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2016,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2017,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2018,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2019,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2020,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2021,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2022,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
