Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,2648,1064,
2004,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,2471,891,
2005,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,3513,3513,
2006,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,5023,5023,
2007,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,5825,5824,
2008,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,5005,5006,
2009,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,0,0,
2010,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,3035,3035,
2011,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,6744,6744,
2012,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,6013,10810,
2013,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,7089,12958,
2014,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,6218,9028,
2015,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,6083,13499,
2016,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,27324,25995,
2017,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,27144,27262,
2018,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,32722,29070,
2019,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,20245,19110,
2020,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,18468,16546,
2021,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,49277,15351,
2022,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,38862,21405,
