Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,11294,9,40822,2.49,12762,8,40038,2.55,,,,
2004,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,14358,9,44103,2.93,13924,8,43008,2.59,,,,
2005,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,16263,9,56952,2.57,19333,8,57927,2.67,,,,
2006,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,20703,8,49887,3.32,18898,6,44995,2.52,,,,
2007,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,13114,10,39263,3.34,12059,8,36821,2.62,,,,
2008,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,13398,10,39522,3.39,13010,9,34038,3.44,,,,
2009,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,10157,10,37342,2.72,11406,9,35644,2.88,,,,
2010,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,13137,8,36115,2.91,12911,8,28221,3.66,,,,
2011,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,12002,9,28501,3.79,15704,8,30346,4.14,,,,
2012,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,16808,9,30872,4.90,24899,7,35570,4.90,,,,
2013,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,26843,10,40487,6.63,18744,10,30577,6.13,,,,
2014,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,27697,10,41775,6.63,19753,9,35555,5.00,,,,
2015,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,26161,10,41005,6.00,24487,9,34543,6.00,,,,
2016,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,29034,9,43551,6.00,24096,9,37715,5.75,,,,
2017,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,26523,10,44205,6.00,22514,10,37523,6.00,,,,
2018,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,28193,10,49031,5.75,24157,10,42012,5.75,,,,
2019,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,27415,10,47678,5.75,24141,10,41984,5.75,,,,
2020,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,29998,6,46994,3.83,26371,7,38219,4.83,,,,
2021,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,30219,9,51804,5.25,25489,9,43695,5.25,,,,
2022,146427,00170400,Knox College,IL,NCAA Division III with football,,1,NCAA,462,585,1047,31174,9,35071,8.00,20762,9,23357,8.00,,,,
