Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 30, 2019 (Friday)",7:00 pm,Away,Webster University,"St. Louis, MO",,,,Postponed,
"September 1, 2019 (Sunday)",1:00 pm,Home,University of Dubuque,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"L,0-2",Box ScoreRecap
"September 6, 2019 (Friday)",4:30 pm,Neutral,North Central University (MN),"Coe College, Cedar Rapids, Iowa",,,,"W,4-0",Box ScoreRecap
"September 7, 2019 (Saturday)",4:30 pm,Neutral,Lakeland University,"Coe College, Cedar Rapids, Iowa",,,,"W,3-1",Box ScoreRecap
"September 11, 2019 (Wednesday)",4:00 pm,Home,Rockford University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,3-0",Box ScoreRecap
"September 14, 2019 (Saturday)",2:30 pm,Home,Westminster College (MO),"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,4-0",Box ScoreRecap
"September 18, 2019 (Wednesday)",4:00 pm,Away,Iowa Wesleyan University,"Mount Pleasant, IA",,,,"L,1-5",Box ScoreRecap
"September 21, 2019 (Saturday)",1:00 pm,Away,Central College,"Pella, IA",,,,"L,1-3",Box ScoreRecap
"September 24, 2019 (Tuesday)",3:00 pm,Home,Coe College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,3-0",Box ScoreRecap
"September 28, 2019 (Saturday)",1:30 pm,Away,St. Norbert College,De Pere. WI,,,,"2OTT,1-1",Box ScoreRecap
"September 29, 2019 (Sunday)",2:00 pm,Away,Beloit College,"Sportscore 2, Loves Park, Ill.",,,,"W,2-1",Box ScoreRecap
"October 5, 2019 (Saturday)",1:30 pm,Home,Cornell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"2OTT,0-0",Box ScoreRecap
"October 8, 2019 (Tuesday)",3:30 pm,Home,Knox College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"L,0-2",Box ScoreRecap
"October 11, 2019 (Friday)",3:30 pm,Away,Illinois College,"Jacksonville, IL",,,,"W,1-0",Box ScoreRecap
"October 19, 2019 (Saturday)",1:30 pm,Home,Lake Forest College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"L,1-2",Box ScoreRecap
"October 20, 2019 (Sunday)",1:30 pm,Home,Lawrence University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,3-0",Box ScoreRecap
"October 26, 2019 (Saturday)",1:30 pm,Home,Grinnell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"L,3-4",Box ScoreRecap
"November 2, 2019 (Saturday)",4:00 pm,Away,Ripon College,"INgalls Field, Ripon, WI",,,,"W,3-0",Box ScoreRecap
"November 8, 2019 (Friday)",2:00 pm,Away,Knox College,"Galesburg, IL",,,Midwest Conference Championships,"L,0-2",Box ScoreRecap
"November 9, 2019 (Saturday)",2:00 pm,Neutral,TBA - did not advance,"Knox College, Galesburg, Ill.",,,Midwest Conference Championships,,WatchTicketsHistory
