Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"March 6, 2016 (Sunday)",12 pm,Away,#4 Emory,,,,"L,0-8",Box ScoreRecap
"March 6, 2016 (Sunday)",2 pm,Away,#4 Emory,,,,"L,3-4",Box ScoreRecap
"March 8, 2016 (Tuesday)",2 pm,Away,Piedmont,,,,"L,1-6",Box ScoreRecap
"March 8, 2016 (Tuesday)",4 pm,Away,Piedmont,,,,"L,1-5",Box ScoreRecapLive stats
"March 11, 2016 (Friday)",2:30 pm,Neutral,#22 Alma,"Columbus, Ga.",,,"W,2-1",Box ScoreRecap
"March 11, 2016 (Friday)",5 pm,Neutral,St. Thomas (Minn.),"Columbus, Ga.",,,"W,3-1",Box ScoreRecap
"March 12, 2016 (Saturday)",10 am,Neutral,Methodist,"Columbus, Ga.",,,"W,10-6",Box ScoreRecap
"March 12, 2016 (Saturday)",4:30 pm,Neutral,#3 Chris. Newport,"Columbus, Ga.",,,"L,3-8",Box ScoreRecap
"March 13, 2016 (Sunday)",9 am,Neutral,#10 Berry,"Columbus, Ga.",,,"L,5-6",Box ScoreRecap
"March 26, 2016 (Saturday)",1 pm,Home,#15 Ill. Wesleyan,,,,"L,3-5",Box ScoreRecap
"March 26, 2016 (Saturday)",3:30 pm,Home,#15 Ill. Wesleyan,,,,"L,2-4",Box ScoreRecap
"March 29, 2016 (Tuesday)",3 pm,Home,Chicago,,,,"W,10-4",Box ScoreRecap
"March 29, 2016 (Tuesday)",5 pm,Home,Chicago,,,,"W,8-0",Box ScoreRecap
"April 2, 2016 (Saturday)",3 pm,Away,Monmouth,,,,"L,3-5",Box ScoreRecap
"April 2, 2016 (Saturday)",5 pm,Away,Monmouth,,,,"W,7-3",Box ScoreRecap
"April 3, 2016 (Sunday)",1 pm,Away,Illinois Col.,,,,"W,4-1",Box ScoreRecap
"April 3, 2016 (Sunday)",3 pm,Away,Illinois Col.,,,,"W,9-7",Box ScoreRecap
"April 7, 2016 (Thursday)",3 pm,Away,Wis.-Whitewater,,,,"W,9-8",Box ScoreRecap
"April 7, 2016 (Thursday)",5 pm,Away,Wis.-Whitewater,,,,"L,11-14",Box ScoreRecap
"April 12, 2016 (Tuesday)",3 pm,Home,Beloit,,,,"W,9-0",Box ScoreRecap
"April 12, 2016 (Tuesday)",4:50 pm,Home,Beloit,,,,"W,13-1",Box ScoreRecap
"April 13, 2016 (Wednesday)",3 pm,Home,Ripon,,,,"W,11-3",Box ScoreRecap
"April 13, 2016 (Wednesday)",5 pm,Home,Ripon,,,,"W,9-1",Box ScoreRecap
"April 16, 2016 (Saturday)",1 pm,Home,Carroll,,,,"W,8-1",Box ScoreRecap
"April 16, 2016 (Saturday)",3 pm,Home,Carroll,,,,"W,1-0",Box ScoreRecap
"April 17, 2016 (Sunday)",1 pm,Home,Knox,,,,"W,8-0",Box ScoreRecap
"April 17, 2016 (Sunday)",2:35 pm,Home,Knox,,,,"W,5-1",Box ScoreRecap
"April 23, 2016 (Saturday)",1 pm,Away,Cornell,,,,"W,8-3",Box ScoreRecap
"April 23, 2016 (Saturday)",3 pm,Away,Cornell,,,,"L,2-3",Box ScoreRecap
"April 24, 2016 (Sunday)",1 pm,Away,Grinnell,,,,"W,4-0",Box ScoreRecap
"April 24, 2016 (Sunday)",3 pm,Away,Grinnell,,,,"W,3-1",Box ScoreRecap
"April 30, 2016 (Saturday)",1 pm,Away,Lawrence,,,,"W,6-0",Box ScoreRecap
"April 30, 2016 (Saturday)",3 pm,Away,Lawrence,,,,"W,10-1",Box ScoreRecap
"May 1, 2016 (Sunday)",1 pm,Away,St. Norbert,,,,"W,4-2",Box ScoreRecap
"May 1, 2016 (Sunday)",3 pm,Away,St. Norbert,,,,"W,9-0",Box ScoreRecap
"May 6, 2016 (Friday)",12 pm,Home,Illinois Col.,,,,"W,1-0",Box ScoreRecap
"May 6, 2016 (Friday)",4 pm,Home,Monmouth,,,,"L,0-8",Recap
"May 7, 2016 (Saturday)",10 am,Home,Carroll,,,,"W,13-4",Recap
"May 7, 2016 (Saturday)",1 pm,Home,Monmouth,,,,"W,5-0",Box ScoreRecap
"May 7, 2016 (Saturday)",3:10 pm,Home,Monmouth,,,,"W,6-2",Box ScoreRecap
"May 13, 2016 (Friday)",11 am,Home,Aurora,,,,"W,1-0",Box ScoreRecap
"May 14, 2016 (Saturday)",10 am,Home,St. Thomas (Minn.),,,,"L,0-3",Recap
"May 14, 2016 (Saturday)",3:5 pm,Home,Wis.-Whitewater,,,,"W,8-0",Recap
"May 15, 2016 (Sunday)",11 am,Home,St. Thomas (Minn.),,,,"L,0-2",Box ScoreRecap
