0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2015-16,12,1042,270,168,88,80,6,-,-,2,86.8
2016-17,11,956,270,169,83,82,6,-,-,3,86.9
Totals,23,1998,270,168,83,80,12,-,-,5,86.9
