0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2014,12,1131,292,177,87,86,7,-,-,2,94.3
2015-16,12,1081,281,170,84,84,6,-,-,1,90.1
2016-17,9,800,277,171,85,84,5,-,-,1,88.9
Totals,33,3012,277,170,84,84,18,-,-,4,91.3
