0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2015-16,14,1065,241,143,77,70,7,4,6,6,76.1
2016-17,11,829,221,148,74,73,6,2,5,6,75.4
Totals,25,1894,221,143,74,70,13,6,11,12,75.8
