Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2012 (Saturday)",1:00 pm,Away,Coe College,"Cedar Rapids, IA",,,"L,3-33",Box ScoreRecap
"September 8, 2012 (Saturday)",1:00 pm,Away,Beloit College,"Beloit, WI",,,"W,31-14",Box ScoreRecap
"September 15, 2012 (Saturday)",,Neutral,BYE WEEK,,,,,History
"September 22, 2012 (Saturday)",1:00 pm,Away,Cornell College,"Mount Vernon, IA",,,"W,31-28",Box ScoreRecap
"September 29, 2012 (Saturday)",1:00 pm,Home,St. Norbert College,"Monmouth, Ill./April Zorn Memorial Stadium",,,"W,31-9",Box ScoreRecap
"October 6, 2012 (Saturday)",1:00 pm,Away,Grinnell College,"Grinnell, IA",,,"L,7-21",Box ScoreRecap
"October 13, 2012 (Saturday)",1:00 pm,Home,Lake Forest College,"Monmouth, Ill./April Zorn Memorial Stadium",,,"L,24-28",Box ScoreRecap
"October 20, 2012 (Saturday)",1:00 pm,Away,Lawrence University,"Appleton, WI",,,"W,56-28",Box ScoreRecap
"October 27, 2012 (Saturday)",1:00 pm,Home,Illinois College,"Monmouth, Ill./April Zorn Memorial Stadium",,,"L,31-34",Box ScoreRecap
"November 3, 2012 (Saturday)",1:00 pm,Away,Ripon College,"Ripon, WI",,,"L,47-50",Box ScoreRecap
"November 10, 2012 (Saturday)",1:00 pm,Home,Knox College,"Monmouth, Ill./April Zorn Memorial Stadium",,,"W,49-35",Box ScoreRecap
