Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ajinjeru, Christine",SR-4,26.14,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.9
,"Ajinjeru, Christine",SR-4,26.26,2014 Midwest Conference T&F Championships,"May 9, 2014",-0.6
,"Ajinjeru, Christine",SR-4,26.55,2014 Midwest Conference T&F Championships,"May 9, 2014",-2.1
,"Ajinjeru, Christine",SR-4,26.71,Cornell College Invitational,"Apr 5, 2014",-1.5
,"Tyree, Daja",FR-1,27.38,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.1
,"Tyree, Daja",FR-1,27.66,Cornell College Invitational,"Apr 5, 2014",-0.2
,"Clennon, Emily",SR-4,28.14,2014 Midwest Conference T&F Championships,"May 9, 2014",-0.6
,"Fritts, Rachel",SR-4,28.2,2014 Kip Janvrin Open,"Apr 24, 2014",-1.9
,"Tyree, Daja",FR-1,28.73,2014 Jim Duncan Invitational,"Apr 11, 2014",-2.8
,"Clennon, Emily",SR-4,28.97,2014 Kip Janvrin Open,"Apr 24, 2014",-2.3
,"Carpenter, Becca",JR-3,29.72,Cornell College Invitational,"Apr 5, 2014",-0.9
,"Carpenter, Becca",JR-3,29.91,2014 Jim Duncan Invitational,"Apr 11, 2014",-3.3
,"Carpenter, Becca",JR-3,30.02,Emory Invitational,"Mar 21, 2014",-0.9
,"Robert, Miranda",JR-3,31.19,Cornell College Invitational,"Apr 5, 2014",-0.9
,"Schmiechen, Alex",SO-2,31.29,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",1.2
,"Schmiechen, Alex",SO-2,31.36,2014 Midwest Conference T&F Championships,"May 9, 2014",-0.2
,"Bresette-Buccino, Nora",SO-2,31.51,2014 Kip Janvrin Open,"Apr 24, 2014",-2.3
,"Schmiechen, Alex",SO-2,32.18,Cornell College Invitational,"Apr 5, 2014",-0.9
,"Schmiechen, Alex",SO-2,32.2,Emory Invitational,"Mar 21, 2014",-0.9
,"Schmiechen, Alex",SO-2,32.21,2014 Jim Duncan Invitational,"Apr 11, 2014",-3.3
