0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2011,9,801,253,182,89,83,5,-,-,1,89.0
2012,10,892,-,169,83,82,6,-,1,3,89.2
2013,13,1158,273,164,88,79,6,-,-,2,89.1
2014,10,883,268,171,84,84,6,-,3,3,88.3
Totals,42,3734,253,164,83,79,23,-,4,9,88.9
