Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Hoffman, Sara",,38.33m,"125' 9""",Central College Last Chance Open,"May 19, 2010"
,"Miller, Isabelle",,33.26m,"109' 1""",Central Open,"May 7, 2010"
,"Huey, Megan",,26.60m,"87' 3""",Spartan Open,"May 1, 2010"
,"Hadow, Amy",SR-4,23.53m,"77' 2""",Central Open,"May 7, 2010"
