Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,16235,16235,
2004,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,5232,5232,
2005,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,4814,4814,
2006,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,4077,3552,
2007,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,9592,5392,
2008,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,9424,7358,
2009,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,8352,7935,
2010,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,10228,6341,
2011,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,21294,15491,
2012,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,32252,12551,
2013,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,32637,20810,
2014,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,30510,18070,
2015,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,34263,24868,
2016,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,32452,16652,
2017,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,32354,15125,
2018,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,32295,15184,
2019,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,20893,13132,
2020,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,37297,8788,
2021,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,44703,16717,
2022,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,44957,16986,
