Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2004,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2005,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2006,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2007,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2008,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2009,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2010,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2011,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2012,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2013,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2014,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2015,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2016,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2017,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2018,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2019,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2020,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2021,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
2022,238333,00383500,Beloit College,WI,NCAA Division III with football,,1,NCAA,440,481,921,0,0,
