0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Fall Invite,9/6/2014,2,93-87=180,+36,t-59th/93
Central Fall Invitational,9/13/2014,1,101,+29,t-10th/25
Pheasant Ridge Tournament,9/21/2014,1,89,+17,t-11th/28
2014 Grinnell College Invitational,9/27/2014,1,91,+19,t-8th/26
2014 Midwest Conference Championship,10/3-5/2014,3,103-97-102=302,+83,23rd/40
Mount Mercy Spring Invitational,4/11-12/15,2,94-87=181,+37,t-23rd/59
Wartburg Women's Golf Spring Invite,4/18/2015,2,89-89=178,+34,t-16th/28
2015 NCAA Women's Golf Championship,"May 12-15, 2015",4,90-90-99-94=373,+85,91st/110
SEASON TOTALS,SEASON TOTALS,16,1495 Avg. 93.4,+21,-
