0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Fall Invite,9/6/2014,2,83-81=164,+20,t-30th/93
Central Fall Invitational,9/13/2014,1,91,+19,3rd/25
Pheasant Ridge Tournament,9/21/2014,1,86,+14,6th/28
2014 Grinnell College Invitational,9/27/2014,1,88,+16,t-5th/26
2014 Midwest Conference Championship,10/3-5/2014,3,91-89-86=266,+47,1st/40
Estralla Mountain Invite,3/17-18/2015,2,84-85=169,+25,9th/0
Mount Mercy Spring Invitational,4/11-12/15,2,87-90=177,+33,t-15th/59
Wartburg Women's Golf Spring Invite,4/18/2015,2,86-88=174,+30,13th/28
2015 NCAA Women's Golf Championship,"May 12-15, 2015",4,90-89-91-96=366,+78,85th/110
SEASON TOTALS,SEASON TOTALS,18,1581 Avg. 87.8,+16,-
