Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Davis, Ryan",FR-1,28.93m,"94' 11""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Davis, Ryan",FR-1,26.55m,"87' 1""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Davis, Ryan",FR-1,26.54m,"87' 1""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Davis, Ryan",FR-1,26.18m,"85' 11""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Serunjogi, Tefiro",SO-2,22.12m,"72' 7""",Central College Open,"Apr 20, 2013"
,"Serunjogi, Tefiro",SO-2,21.70m,"71' 2""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Serunjogi, Tefiro",SO-2,21.35m,"70' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Davis, Ryan",FR-1,20.87m,"68' 6""",Central College Open,"Apr 20, 2013"
,"Garwood, David",SR-4,20.28m,"66' 6""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Garwood, David",SR-4,19.44m,"63' 9""",Central College Open,"Apr 20, 2013"
,"Serunjogi, Tefiro",SO-2,18.89m,"62' 0""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Garwood, David",SR-4,18.59m,"61' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Serunjogi, Tefiro",SO-2,17.02m,"55' 10""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Garwood, David",SR-4,15.94m,"52' 3""",2013 Monmouth Fighting Scots,"May 4, 2013"
