Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kakazu, Nathan",SR-4,10:06.64,Kip Janvrin Open,"Apr 25, 2013"
,"Kakazu, Nathan",SR-4,10:09.09,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Kakazu, Nathan",SR-4,10:09.24,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Kakazu, Nathan",SR-4,10:24.08,Cornell College Invitational,"Apr 6, 2013"
,"Kakazu, Nathan",SR-4,10:37.30,Walt Disney World Invitational,"Mar 22, 2013"
,"Mundell, Lex",FR-1,11:23.25,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Mundell, Lex",FR-1,11:27.60,Kip Janvrin Open,"Apr 25, 2013"
,"Mundell, Lex",FR-1,11:27.60,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Mundell, Lex",FR-1,11:45.01,Cornell College Invitational,"Apr 6, 2013"
,"Mundell, Lex",FR-1,11:55.20,Walt Disney World Invitational,"Mar 22, 2013"
