Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Canady, Frank",JR-3,31:24.40,2013 Drake Relays presented by Hy-Vee,"Apr 24, 2013"
,"Canady, Frank",JR-3,31:26.55,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Canady, Frank",JR-3,31:37.79,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Dalton, Adam",FR-1,32:28.26,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Figge, Erik",SR-4,32:42.90,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Griffith, Evan",SO-2,32:48.72,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Figge, Erik",SR-4,34:10.97,Walt Disney World Invitational,"Mar 22, 2013"
,"Smiley, Tyler",SR-4,36:23.87,Walt Disney World Invitational,"Mar 22, 2013"
,"Anderson, Doug",JR-3,37:17.39,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Smiley, Tyler",SR-4,37:40.87,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Menner, Robbie",JR,38:05.06,2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Anderson, Doug",JR-3,39:16.40,Kip Janvrin Open,"Apr 25, 2013"
,"Margida, Greg",FR-1,42:09.16,Kip Janvrin Open,"Apr 25, 2013"
