Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ragan, Eric",JR-3,24.67,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Edwards, Ronald",SO-2,24.74,Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Singh, Harpreet",SR-4,24.83,Darren Young Classic,"Feb 11, 2012",0.0
,"Warnock, Gavin",SO-2,24.91,Wartburg Invitational,"Feb 18, 2012",0.0
,"Edwards, Ronald",SO-2,25.05,Darren Young Classic,"Feb 11, 2012",0.0
,"Singh, Harpreet",JR-3,25.14,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Warnock, Gavin",SO-2,25.18,Darren Young Classic,"Feb 11, 2012",0.0
,"Garwood, David",JR-3,25.43,Dutch Athletics Classic,"Jan 27, 2012",0.0
,"Garwood, David",SO-2,25.59,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Tyree, Isaiah",FR-1,25.9,Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Espinosa, Kyle",SR-4,28.89,Darren Young Classic,"Feb 11, 2012",0.0
,"Espinosa, Kyle",JR-3,29.7,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Hernandez, Luis",FR-1,30.26,Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
