0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Evan Bunis,13,1009,74,-,8,-,1,4,+6,77.6,-,-,-
Zach McGriff,11,863,72,1,6,-,2,4,+7,78.5,-,-,-
Nirabh Koirala,12,1072,84,-,7,-,-,2,+18,89.3,-,-,-
Major May,11,1011,83,-,6,-,-,1,+20,91.9,-,-,-
Nick Curta,1,98,98,-,1,-,-,-,+28,98.0,-,-,-
John Zbaracki,11,1310,113,-,6,-,-,-,+48,119.1,-,-,-
Owen Craven,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,12,4100,320,1,8,-,3,11,+56,341.7,,,
