Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,16333,15,42608,5.75,14985,13,55659,3.50,,,,
2004,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,5403,17,8961,10.25,3260,13,10595,4.00,,,,
2005,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,5943,17,9857,10.25,4317,13,17268,3.25,,,,
2006,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,10593,17,17569,10.25,17184,11,58161,3.25,,,,
2007,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,6223,17,11136,9.50,5145,12,18997,3.25,,,,
2008,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,7019,18,13299,9.50,4071,14,16812,3.39,,,,
2009,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,8871,19,17557,9.60,3929,14,16226,3.39,,,,
2010,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,9250,18,16990,9.80,4313,15,17070,3.79,,,,
2011,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,8785,21,36897,5.00,5450,15,41709,1.96,,,,
2012,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,10050,20,42857,4.69,5846,13,36190,2.10,,,,
2013,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,9891,22,40673,5.35,6769,13,32958,2.67,,,,
2014,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,9975,22,41328,5.31,5735,17,33049,2.95,,,,
2015,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,11051,20,41158,5.00,7944,13,32994,3.00,,,,
2016,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,11089,20,44356,5.00,7452,14,35975,2.90,,,,
2017,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,10010,22,46071,4.78,7162,17,38652,3.15,,,,
2018,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,12132,19,48836,4.72,9143,13,40020,2.97,,,,
2019,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,10295,23,46888,5.05,7792,16,39704,3.14,,,,
2020,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,11494,16,48142,3.82,6532,13,39680,2.14,,,,
2021,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,11715,24,46938,5.99,9247,18,39349,4.23,,,,
2022,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,11377,27,51026,6.02,8093,22,39831,4.47,,,,
