Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Braun, Zev",JR-3,41.51m,"136' 2""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Braun, Zev",JR-3,40.23m,"132' 0""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Braun, Zev",JR-3,39.82m,"130' 8""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Braun, Zev",JR-3,39.39m,"129' 3""",2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Braun, Zev",JR-3,38.90m,"127' 7""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Woodington, Chris",JR-3,36.60m,"120' 1""",2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Braun, Zev",JR-3,36.21m,"118' 9""",2014 Kip Janvrin Open,"Apr 24, 2014"
,"Woodington, Chris",JR-3,36.18m,"118' 8""",Central College Open,"Apr 16, 2014"
,"Woodington, Chris",JR-3,35.65m,"116' 11""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Woodington, Chris",JR-3,35.36m,"116' 0""",Cornell College Invitational,"Apr 5, 2014"
,"Woodington, Chris",JR-3,34.85m,"114' 4""",Emory Invitational,"Mar 21, 2014"
,"Woodington, Chris",JR-3,34.48m,"113' 1""",2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Woodington, Chris",JR-3,34.21m,"112' 3""",Central College Open,"Apr 16, 2014"
,"Woodington, Chris",JR-3,32.48m,"106' 7""",Cornell College Invitational,"Apr 5, 2014"
,"Woodington, Chris",JR-3,31.70m,"104' 0""",2014 Jim Duncan Invitational,"Apr 11, 2014"
