0,1,2,3
Grinnell College,319,35,1st
Nina Kouchi,78,7,t-1st
Aubrie Torhorst,78,7,t-1st
Mary Li,81,10,5th
Parker Perry,82,11,6th
Lauren Chen,85,14,t-8th
