Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2017,vs Coe College,1-0,1,1,3,23,0.043,12,0.522,1-0,1,0-0,990
9/2/2017,"at Dubuque, Univ.of",2-3,2,2,6,12,0.167,5,0.417,0-0,0,0-0,990
9/5/2017,vs Westminster (MO),3-4,3,2,8,17,0.176,14,0.824,1-0,0,1-1,990
9/9/2017,vs North Central,2-3,2,1,5,13,0.154,7,0.538,2-0,0,0-0,1026
9/10/2017,at Iowa Wesleyan,4-4,4,3,11,17,0.235,9,0.529,3-0,0,1-1,2067
9/13/2017,at Simpson,1-4,1,1,3,12,0.083,8,0.667,0-0,0,0-0,995
9/16/2017,at Nebraska Wesleyan,0-1,0,0,0,8,0.0,3,0.375,1-0,0,0-0,1020
9/17/2017,vs Buena Vista,2-1,2,2,6,18,0.111,7,0.389,0-0,1,0-0,1176
9/23/2017,vs Beloit,3-0,3,2,8,22,0.136,11,0.5,0-0,1,1-1,991
9/24/2017,vs Lake Forest,4-5,4,4,12,20,0.2,11,0.55,3-0,0,0-0,1156
9/30/2017,at Illinois College,2-0,2,1,5,13,0.154,6,0.462,1-0,1,0-0,990
10/4/2017,vs Cornell College,1-0,1,0,2,11,0.091,5,0.455,2-0,1,1-1,992
10/7/2017,at Knox,0-2,0,0,0,11,0.0,4,0.364,1-0,0,0-0,1036
10/14/2017,at St. Norbert College,0-2,0,0,0,9,0.0,0,0.0,3-0,0,0-0,0
10/15/2017,at Lawrence University,3-1,3,1,7,19,0.158,11,0.579,0-0,1,0-0,1072
10/21/2017,vs Ripon,2-0,2,1,5,30,0.067,17,0.567,0-0,1,1-1,11
10/28/2017,vs Monmouth (IL),2-1,2,3,7,21,0.095,10,0.476,2-0,1,0-0,991
11/3/2017,at Knox,3-2,3,1,7,6,0.5,5,0.833,1-1,1,0-0,1070
11/4/2017,at Lake Forest,0-2,0,0,0,12,0.0,4,0.333,1-0,0,0-0,1001
Total,,35-35,35,25,95,294,0.119,149,0.507,22-1,9,5-5,18564
Opponent,,-,35,23,93,231,0.152,108,0.468,29-2,9,-,17887
