0,1,2
POINTS,3,Nebraska Wesleyan (9/16/2017) Buena Vista (9/17/2017) Lawrence University (10/15/2017) Monmouth (IL) (10/28/2017)
GOALS,1,Nebraska Wesleyan (9/16/2017) Buena Vista (9/17/2017) Lawrence University (10/15/2017) Monmouth (IL) (10/28/2017)
ASSISTS,1,Nebraska Wesleyan (9/16/2017) Buena Vista (9/17/2017) Knox (10/7/2017) St. Norbert College (10/14/2017) Lawrence University (10/15/2017) Monmouth (IL) (10/28/2017) Knox (11/3/2017) Lake Forest (11/4/2017)
SHOTS,1,Coe College (9/1/2017) Cornell College (10/4/2017) Ripon (10/21/2017)
SHOTS ON GOAL,2,Coe College (9/1/2017) Nebraska Wesleyan (9/16/2017) Illinois College (9/30/2017) Ripon (10/21/2017)
SAVES,2,"Dubuque, Univ.of (9/2/2017) Nebraska Wesleyan (9/16/2017) Knox (11/3/2017)"
FOULS,6,Lake Forest (9/24/2017)
CORNER KICKS,1,Cornell College (10/4/2017)
