#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",9,8,563:13,10,1.6,23,0.697,5.0,3.0,0.0,2/2,62,View Bio
0.0,"Nattinger, Michael 00Nattinger, Michael",1,0,13:57,0,0.0,1,1.0,0.0,0.0,0.0,0/1,1,View Bio
0.0,"Spicer, Michael 0Spicer, Michael",4,1,157:49,1,0.57,7,0.875,1.0,0.0,0.0,0/1,17,View Bio
,Total,9,-,734:59,11,1.35,31,0.738,6.0,3.0,0.0,4,80,
,Opponents,9,-,734:59,17,2.08,64,0.79,,,,2,150,
