Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2017,vs Coe College,W,1-0,(1-0),,171,Carlos Piedrasanta (0) (Antonio Dimarco)
9/2/2017,"at Dubuque, Univ.of",L,2-3,(1-1),,254,Artis Curiskis (0) (Antonio Dimarco)  F. Sanchez-Conde (0) (Kyle Buse)
9/5/2017,vs Westminster (MO),L,3-4,(1-2),,77,Antonio Dimarco (0) (Jasper Yang)  Antonio Dimarco (0) Antonio Dimarco (0) (Artis Curiskis)
9/9/2017,vs North Central,L,2-3,(1-3),,143,Noah Fluharty (0) (Artis Curiskis)  Mikoto Kobayashi (0)
9/10/2017,at Iowa Wesleyan,T,4-4,(1-3-1),,50,Evan Sorenson (0) (Artis Curiskis)  Antonio Dimarco (0) (Michael Kamp)  Antonio Dimarco (0) Antonio Dimarco (0) (Evan Sorenson)
9/13/2017,at Simpson,L,1-4,(1-4-1),,137,Evan Sorenson (2) (Antonio Dimarco)
9/16/2017,at Nebraska Wesleyan,L,0-1,(1-5-1),,40,
9/17/2017,vs Buena Vista,W,2-1,(2-5-1),,72,Jasper Yang (0) (Tommy O'Donnell)  Carlos Piedrasanta (0) (Antonio Dimarco)
9/23/2017,vs Beloit,W,3-0,"(3-5-1, 1-0 MWC)",1-0 MWC,154,"Evan Sorenson (0) (Antonio Dimarco)  Hotchkiss, Sidney (0) (Evan Sorenson)  Artis Curiskis (0)"
9/24/2017,vs Lake Forest,L,4-5,"(3-6-1, 1-1 MWC)",1-1 MWC,154,Evan Sorenson (4) (Zach Steinberg)  Antonio Dimarco (7) (Jared Cloutier)  Carlos Piedrasanta (3) (Kyle Buse)  Jasper Yang (2) (Kyle Buse)
9/30/2017,at Illinois College,W,2-0,"(4-6-1, 2-1-0 MWC)",2-1-0 MWC,125,Antonio Dimarco (8) (Mikoto Kobayashi)  Antonio Dimarco (9)
10/4/2017,vs Cornell College,W,1-0,"(5-6-1, 3-1 MWC)",3-1 MWC,103,Antonio Dimarco (0)
10/7/2017,at Knox,L,0-2,"(5-7-1, 3-2 MWC)",3-2 MWC,140,
10/14/2017,at St. Norbert College,L,0-2,"(5-8-1, 3-3 MWC)",3-3 MWC,125,
10/15/2017,at Lawrence University,W,3-1,"(6-8-1, 4-3-0 MWC)",4-3-0 MWC,112,Antonio Dimarco (0) (Artis Curiskis)  Jasper Yang (0) Sidney Hotchkiss (0)
10/21/2017,vs Ripon,W,2-0,"(7-8-1, 5-3 MWC)",5-3 MWC,131,Noah Fluharty (2) (Artis Curiskis)  Antonio Dimarco (0)
10/28/2017,vs Monmouth (IL),W,2-1,"(8-8-1, 6-3 MWC)",6-3 MWC,137,"Artis Curiskis (0) (Antonio Dimarco)  Jasper Yang (0) (Thomas Pflipsen , Mikoto Kobayashi)"
11/3/2017,at Knox,W,3-2,(9-8-1),,300,Carlos Piedrasanta (3) Antonio Dimarco (13) Artis Curiskis (4) (Antonio Dimarco)
11/4/2017,at Lake Forest,L,0-2,(9-9-1),,110,
