Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2017,vs Coe College,1-0,1/0,1/0,23/4,12/2,9/3,1/3,0/0
9/2/2017,"at Dubuque, Univ.of",2-3,2/3,2/3,12/18,5/8,3/6,0/1,0/0
9/5/2017,vs Westminster (MO),3-4,3/4,2/2,17/14,14/8,3/5,1/0,0/0
9/9/2017,vs North Central,2-3,2/3,1/3,13/13,7/11,7/5,2/1,0/0
9/10/2017,at Iowa Wesleyan,4-4,4/4,3/2,17/18,9/8,10/2,3/6,0/1
9/13/2017,at Simpson,1-4,1/4,1/2,12/21,8/9,4/9,0/0,0/0
9/16/2017,at Nebraska Wesleyan,0-1,0/1,0/1,8/7,3/2,5/4,1/0,0/0
9/17/2017,vs Buena Vista,2-1,2/1,2/1,18/16,7/8,19/4,0/2,0/0
9/23/2017,vs Beloit,3-0,3/0,2/0,22/5,11/3,11/4,0/0,0/1
9/24/2017,vs Lake Forest,4-5,4/5,4/3,20/29,11/15,7/10,3/1,0/0
9/30/2017,at Illinois College,2-0,2/0,1/0,13/8,6/2,2/3,1/2,0/0
10/4/2017,vs Cornell College,1-0,1/0,0/0,11/1,5/0,10/1,2/1,0/0
10/7/2017,at Knox,0-2,0/2,0/1,11/11,4/7,1/2,1/3,0/0
10/14/2017,at St. Norbert College,0-2,0/2,0/1,9/7,0/0,3/4,3/0,0/0
10/15/2017,at Lawrence University,3-1,3/1,1/1,19/9,11/4,7/5,0/3,0/0
10/21/2017,vs Ripon,2-0,2/0,1/0,30/4,17/2,13/0,0/1,0/0
10/28/2017,vs Monmouth (IL),2-1,2/1,3/1,21/9,10/5,11/2,2/1,0/0
11/3/2017,at Knox,3-2,3/2,1/1,6/22,5/7,2/8,1/4,1/0
11/4/2017,at Lake Forest,0-2,0/2,0/1,12/15,4/7,5/7,1/0,0/0
Totals,,,35/35,25/23,294/231,149/108,132/84,22/29,1/2
