#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Cloutier, Jared 1Cloutier, Jared",17,13,1127:54,25,1.99,50,0.667,7.0,7.0,1.0,2/3,160,View Bio
0.0,"Nattinger, Michael 00Nattinger, Michael",2,1,107:13,3,2.52,9,0.75,0.0,1.0,0.0,0/1,14,View Bio
0.0,"Spicer, Michael 0Spicer, Michael",8,5,444:33,7,1.42,18,0.72,2.0,1.0,0.0,0/2,52,View Bio
,Total,19,-,1679:40,35,1.88,77,0.688,9.0,9.0,1.0,5,226,
,Opponents,19,-,1679:40,35,1.88,120,0.774,,,,4,286,
