Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2017,Coe College,1-0,90:00,0,0.0,2,1.0,1,0,0,1,4
9/2/2017,"Dubuque, Univ.of",2-3,90:00,3,1.5,5,0.625,0,1,0,0,18
9/5/2017,Westminster (MO),3-4,90:00,4,2.33,4,0.5,0,1,0,0,13
9/9/2017,North Central,2-3,93:16,3,2.48,8,0.727,0,1,0,0,13
9/10/2017,Iowa Wesleyan,4-4,110:00,4,2.66,4,0.5,0,0,1,0,17
9/13/2017,Simpson,1-4,90:00,4,2.88,5,0.556,0,1,0,0,21
9/16/2017,Nebraska Wesleyan,0-1,90:00,1,2.62,1,0.5,0,1,0,0,7
9/17/2017,Buena Vista,2-1,106:44,1,2.37,7,0.875,1,0,0,0,17
9/23/2017,Beloit,3-0,90:00,0,2.12,3,1.0,1,0,0,1,6
9/24/2017,Lake Forest,4-5,104:59,5,2.36,10,0.667,0,1,0,0,29
9/30/2017,Illinois College,2-0,90:00,0,2.15,2,1.0,1,0,0,1,8
10/4/2017,Cornell College,1-0,90:00,0,1.98,0,0.0,1,0,0,1,1
10/7/2017,Knox,0-2,90:00,2,1.98,5,0.714,0,1,0,0,10
10/14/2017,St. Norbert College,0-2,90:00,2,1.98,3,0.6,0,1,0,0,5
10/15/2017,Lawrence University,3-1,90:00,1,1.92,3,0.75,1,0,0,0,9
10/21/2017,Ripon,2-0,0:00,0,1.92,2,1.0,1,0,0,1,4
10/28/2017,Monmouth (IL),2-1,90:00,1,1.87,4,0.8,1,0,0,0,9
11/3/2017,Knox,3-2,94:41,2,1.87,5,0.714,1,0,0,0,21
11/4/2017,Lake Forest,0-2,90:00,2,1.88,5,0.714,0,1,0,0,15
Totals,,-,1677,35,1.88,78,0.69,9,9,1,5,227
Opponent,,-,1679:40,35,1.88,120,0.774,9,9,1,4,286
