Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2017,Coe College,0-1,0,0,0,4,0.0,2,0.5,3-0,0,0-0,989
9/2/2017,"Dubuque, Univ.of",3-2,3,3,9,18,0.167,8,0.444,1-0,1,0-0,989
9/5/2017,Westminster (MO),4-3,4,2,10,14,0.286,8,0.571,0-0,1,1-1,991
9/9/2017,North Central,3-2,3,3,9,13,0.231,11,0.846,1-0,1,0-1,1028
9/10/2017,Iowa Wesleyan,4-4,4,2,10,18,0.222,8,0.444,6-1,0,1-1,1588
9/13/2017,Simpson,4-1,4,2,10,21,0.19,9,0.429,0-0,1,0-0,975
9/16/2017,Nebraska Wesleyan,1-0,1,1,3,7,0.143,2,0.286,0-0,1,0-0,967
9/17/2017,Buena Vista,1-2,1,1,3,16,0.063,8,0.5,2-0,0,0-0,1177
9/23/2017,Beloit,0-3,0,0,0,5,0.0,3,0.6,0-1,0,0-0,989
9/24/2017,Lake Forest,5-4,5,3,13,29,0.172,15,0.517,1-0,1,0-0,1144
9/30/2017,Illinois College,0-2,0,0,0,8,0.0,2,0.25,2-0,0,0-0,989
10/4/2017,Cornell College,0-1,0,0,0,1,0.0,0,0.0,1-0,0,0-0,990
10/7/2017,Knox,2-0,2,1,5,11,0.182,7,0.636,3-0,1,1-1,1071
10/14/2017,St. Norbert College,2-0,2,1,5,7,0.286,0,0.0,0-0,1,1-1,0
10/15/2017,Lawrence University,1-3,1,1,3,9,0.111,4,0.444,3-0,0,0-0,966
10/21/2017,Ripon,0-2,0,0,0,4,0.0,2,0.5,1-0,0,0-0,9
10/28/2017,Monmouth (IL),1-2,1,1,3,9,0.111,5,0.556,1-0,0,0-0,990
11/3/2017,Knox,2-3,2,1,5,22,0.091,7,0.318,4-0,0,1-1,1040
11/4/2017,Lake Forest,2-0,2,1,5,15,0.133,7,0.467,0-0,1,0-0,995
Total,,35-35,35,23,93,231,0.152,108,0.468,29-2,9,5-6,17887
Grinnell College,,-,35,25,95,294,0.119,149,0.507,22-1,9,-,18564
