0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Hayden Somach,15,1165,71,2,7,-,1,4,+6,77.7,30,2362,78.7
Thornton Walker,15,1171,73,-,7,-,1,3,+6,78.1,15,1171,78.1
Eshaan Sethi,15,1173,69,1,7,-,-,1,+6,78.2,28,2206,78.8
Ian Strawn,15,1209,75,-,7,-,-,-,+9,80.6,32,2644,82.6
Luke McCann,15,1241,75,-,7,-,-,-,+11,82.7,30,2458,81.9
Kevin Carpenter,12,995,78,-,6,-,-,-,+11,82.9,27,2232,82.7
Brody Barton,11,926,77,-,6,-,-,-,+12,84.2,29.5,2620,88.8
John Robinson,6,518,79,-,3,-,-,-,+14,86.3,14,1227,87.6
Lukas Roscoe,5,443,85,-,3,-,-,-,+17,88.6,10,930,93.0
Henry Horn,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,15,4724,290,3,7,-,2,8,+27,314.9,,,
