Name,GP,TO,TO/G
"#25 Heath, Tyria",22,69,3.1
"#42 Morrissey, Kayla",22,64,2.9
"#14 Kasprak, Regan",22,58,2.6
"#11 Kricfalusi, Mikayla",20,32,1.6
"#13 Kessel, Hanna",20,25,1.3
"#34 Hellweg, Abby",22,24,1.1
"#20 Collier, Claire",20,22,1.1
"#22 Woolam, Olivia",22,13,0.6
"#24 Giles, Margaret",22,9,0.4
"#44 Guzzo, Daria",11,7,0.6
"#10 Hanlon, May",17,7,0.4
#TM Team,22,7,0.3
