Name,GP,BLK,BLK/G
"#42 Morrissey, Kayla",22,16,0.7
"#11 Kricfalusi, Mikayla",20,15,0.8
"#24 Giles, Margaret",22,12,0.5
"#20 Collier, Claire",20,8,0.4
"#44 Guzzo, Daria",11,6,0.5
"#14 Kasprak, Regan",22,3,0.1
"#13 Kessel, Hanna",20,3,0.2
"#25 Heath, Tyria",22,2,0.1
"#34 Hellweg, Abby",22,2,0.1
"#22 Woolam, Olivia",22,2,0.1
