Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#42 Morrissey, Kayla",22,168,211,0.796,7.6,9.6
"#25 Heath, Tyria",22,55,80,0.688,2.5,3.6
"#14 Kasprak, Regan",22,28,48,0.583,1.3,2.2
"#20 Collier, Claire",20,10,12,0.833,0.5,0.6
"#13 Kessel, Hanna",20,8,10,0.8,0.4,0.5
"#44 Guzzo, Daria",11,6,14,0.429,0.5,1.3
"#10 Hanlon, May",17,6,11,0.545,0.4,0.6
"#11 Kricfalusi, Mikayla",20,6,13,0.462,0.3,0.7
"#34 Hellweg, Abby",22,4,8,0.5,0.2,0.4
"#22 Woolam, Olivia",22,3,6,0.5,0.1,0.3
"#24 Giles, Margaret",22,1,2,0.5,0.0,0.1
