Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#42 Morrissey, Kayla",22,187,8.5,37,1.7,150,6.8
"#11 Kricfalusi, Mikayla",20,100,5.0,38,1.9,62,3.1
#TM Team,22,79,3.6,39,1.8,40,1.8
"#24 Giles, Margaret",22,75,3.4,15,0.7,60,2.7
"#25 Heath, Tyria",22,59,2.7,17,0.8,42,1.9
"#13 Kessel, Hanna",20,59,3.0,25,1.3,34,1.7
"#14 Kasprak, Regan",22,53,2.4,15,0.7,38,1.7
"#34 Hellweg, Abby",22,48,2.2,14,0.6,34,1.5
"#20 Collier, Claire",20,46,2.3,17,0.9,29,1.5
"#44 Guzzo, Daria",11,44,4.0,17,1.5,27,2.5
"#10 Hanlon, May",17,16,0.9,3,0.2,13,0.8
"#22 Woolam, Olivia",22,7,0.3,2,0.1,5,0.2
