#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",22,33.9,0.44,0.316,0.796,1.7,6.8,8.5,2.7,1.2,0.7,20.7
25.0,"Heath, Tyria 25 Heath, Tyria",22,28.2,0.429,0.327,0.688,0.8,1.9,2.7,1.6,1.6,0.1,11.9
14.0,"Kasprak, Regan 14 Kasprak, Regan",22,32.4,0.349,0.262,0.583,0.7,1.7,2.4,2.0,1.7,0.1,10.8
13.0,"Kessel, Hanna 13 Kessel, Hanna",20,24.0,0.473,0.34,0.8,1.3,1.7,3.0,0.8,1.0,0.2,5.6
22.0,"Woolam, Olivia 22 Woolam, Olivia",22,8.9,0.296,0.277,0.5,0.1,0.2,0.3,0.2,0.2,0.1,3.1
34.0,"Hellweg, Abby 34 Hellweg, Abby",22,17.7,0.361,0.0,0.5,0.6,1.5,2.2,0.8,1.0,0.1,2.2
44.0,"Guzzo, Daria 44 Guzzo, Daria",11,20.0,0.212,0.0,0.429,1.5,2.5,4.0,0.1,0.5,0.5,2.5
20.0,"Collier, Claire 20 Collier, Claire",20,13.5,0.205,0.1,0.833,0.9,1.5,2.3,0.6,0.7,0.4,2.2
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",20,15.2,0.275,0.0,0.462,1.9,3.1,5.0,0.2,0.3,0.8,1.4
24.0,"Giles, Margaret 24 Giles, Margaret",22,16.8,0.259,0.0,0.5,0.7,2.7,3.4,0.4,0.2,0.5,1.3
10.0,"Hanlon, May 10 Hanlon, May",17,5.2,0.304,0.0,0.545,0.2,0.8,0.9,0.1,0.2,0.0,1.2
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Total,22,200.0,0.369,0.276,0.711,10.9,24.3,35.1,9.0,8.0,3.1,60.5
,Opponents,22,200.0,0.411,0.333,0.651,13.4,28.4,41.8,15.6,8.1,2.5,66.32
