Name,GP,MIN,MIN/G
"#42 Morrissey, Kayla",22,745,33.9
"#14 Kasprak, Regan",22,713,32.4
"#25 Heath, Tyria",22,621,28.2
"#13 Kessel, Hanna",20,479,24.0
"#34 Hellweg, Abby",22,390,17.7
"#24 Giles, Margaret",22,370,16.8
"#11 Kricfalusi, Mikayla",20,303,15.2
"#20 Collier, Claire",20,270,13.5
"#44 Guzzo, Daria",11,220,20.0
"#22 Woolam, Olivia",22,196,8.9
"#10 Hanlon, May",17,89,5.2
"#35 Dos Santos, Stephany",1,2,2.0
"#35 Dos Santos, Stephany",1,1,1.0
