Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#42 Morrissey, Kayla",22,135,307,0.44,6.1,14.0
"#14 Kasprak, Regan",22,96,275,0.349,4.4,12.5
"#25 Heath, Tyria",22,94,219,0.429,4.3,10.0
"#13 Kessel, Hanna",20,43,91,0.473,2.2,4.6
"#22 Woolam, Olivia",22,24,81,0.296,1.1,3.7
"#34 Hellweg, Abby",22,22,61,0.361,1.0,2.8
"#20 Collier, Claire",20,16,78,0.205,0.8,3.9
"#24 Giles, Margaret",22,14,54,0.259,0.6,2.5
"#44 Guzzo, Daria",11,11,52,0.212,1.0,4.7
"#11 Kricfalusi, Mikayla",20,11,40,0.275,0.6,2.0
"#10 Hanlon, May",17,7,23,0.304,0.4,1.4
