Name,GP,STL,STL/G
"#14 Kasprak, Regan",22,37,1.7
"#25 Heath, Tyria",22,35,1.6
"#42 Morrissey, Kayla",22,26,1.2
"#34 Hellweg, Abby",22,21,1.0
"#13 Kessel, Hanna",20,20,1.0
"#20 Collier, Claire",20,13,0.7
"#44 Guzzo, Daria",11,6,0.5
"#11 Kricfalusi, Mikayla",20,6,0.3
"#24 Giles, Margaret",22,5,0.2
"#10 Hanlon, May",17,4,0.2
"#22 Woolam, Olivia",22,4,0.2
