Name,GP,PF,PF/G
"#11 Kricfalusi, Mikayla",20,63,3.2
"#25 Heath, Tyria",22,62,2.8
"#42 Morrissey, Kayla",22,55,2.5
"#20 Collier, Claire",20,32,1.6
"#24 Giles, Margaret",22,32,1.5
"#34 Hellweg, Abby",22,29,1.3
"#22 Woolam, Olivia",22,29,1.3
"#13 Kessel, Hanna",20,25,1.3
"#14 Kasprak, Regan",22,21,1.0
"#44 Guzzo, Daria",11,15,1.4
"#10 Hanlon, May",17,7,0.4
